Train Accuracies:
0     0.524116
1     0.719571
2     0.759596
3     0.781061
4     0.798611
5     0.811111
6     0.839394
7     0.840783
8     0.856692
9     0.872854
10    0.871717
11    0.892929
12    0.901641
13    0.910859
14    0.920707
15    0.920833
16    0.927020
17    0.927778
18    0.942045
19    0.940657
20    0.941288
21    0.947475
22    0.946338
23    0.949621
24    0.951010
25    0.944192
26    0.956944
27    0.952904
28    0.960354
29    0.959091
30    0.963131
31    0.958712
32    0.960732
33    0.964268
34    0.959596
35    0.966793
36    0.958207
37    0.962879
38    0.964646
39    0.958712
40    0.972222
41    0.962753
42    0.963384
43    0.969571
44    0.973485
45    0.977525
46    0.966035
47    0.967929
48    0.967929
49    0.972348

Validation Accuracies:
0     0.801515
1     0.847475
2     0.849495
3     0.859091
4     0.874747
5     0.865152
6     0.880808
7     0.898485
8     0.920707
9     0.910606
10    0.884343
11    0.930303
12    0.938384
13    0.933333
14    0.939899
15    0.964141
16    0.967677
17    0.908586
18    0.951515
19    0.968182
20    0.972222
21    0.955051
22    0.958586
23    0.949495
24    0.977778
25    0.962121
26    0.978283
27    0.974747
28    0.981818
29    0.983333
30    0.954545
31    0.972222
32    0.972727
33    0.969192
34    0.980808
35    0.976768
36    0.941919
37    0.937879
38    0.973232
39    0.970707
40    0.984343
41    0.972222
42    0.968182
43    0.981313
44    0.985859
45    0.959596
46    0.974747
47    0.977778
48    0.981313
49    0.984343

Train Losses:
0     1.154639
1     0.659007
2     0.593447
3     0.539732
4     0.500129
5     0.484575
6     0.429022
7     0.420614
8     0.395011
9     0.355628
10    0.339624
11    0.291138
12    0.270197
13    0.266253
14    0.224536
15    0.221576
16    0.205540
17    0.207624
18    0.173539
19    0.185130
20    0.177763
21    0.160232
22    0.160274
23    0.152690
24    0.146730
25    0.155820
26    0.127616
27    0.134025
28    0.114928
29    0.119456
30    0.113775
31    0.119558
32    0.125176
33    0.109446
34    0.128823
35    0.103750
36    0.127824
37    0.122071
38    0.107076
39    0.118479
40    0.081360
41    0.114533
42    0.111821
43    0.090709
44    0.083292
45    0.074142
46    0.111745
47    0.100346
48    0.098584
49    0.086315

Validation Losses:
0     0.519434
1     0.375288
2     0.388631
3     0.353018
4     0.318697
5     0.342783
6     0.294559
7     0.245317
8     0.200594
9     0.250432
10    0.280254
11    0.171903
12    0.168246
13    0.196674
14    0.179253
15    0.097697
16    0.092058
17    0.230882
18    0.131570
19    0.077602
20    0.084094
21    0.120873
22    0.110229
23    0.166855
24    0.060274
25    0.090469
26    0.059539
27    0.069283
28    0.051732
29    0.051858
30    0.143592
31    0.083603
32    0.083106
33    0.085312
34    0.054854
35    0.069260
36    0.150029
37    0.154223
38    0.075810
39    0.081400
40    0.042572
41    0.075373
42    0.078908
43    0.057513
44    0.038583
45    0.104511
46    0.071443
47    0.065761
48    0.050839
49    0.048912

