Train Accuracies:
0     0.491414
1     0.711111
2     0.762374
3     0.785101
4     0.812121
5     0.819318
6     0.830934
7     0.849495
8     0.859343
9     0.863384
10    0.877525
11    0.888258
12    0.897096
13    0.900253
14    0.905808
15    0.910732
16    0.926768
17    0.929545
18    0.925758
19    0.936111
20    0.930051
21    0.947222
22    0.940278
23    0.942045
24    0.950758
25    0.947222
26    0.950631
27    0.950758
28    0.954545
29    0.953283
30    0.952525
31    0.950758
32    0.961742
33    0.953030
34    0.961742
35    0.963889
36    0.959722
37    0.956313
38    0.964015
39    0.956566
40    0.965783
41    0.964394
42    0.961742
43    0.972980
44    0.967803
45    0.970833
46    0.969066
47    0.970455
48    0.968308
49    0.967803

Validation Accuracies:
0     0.828788
1     0.820707
2     0.883838
3     0.828788
4     0.896970
5     0.901515
6     0.872727
7     0.912626
8     0.910606
9     0.930303
10    0.913636
11    0.905556
12    0.881313
13    0.941414
14    0.933333
15    0.934343
16    0.957576
17    0.963131
18    0.967677
19    0.968687
20    0.961616
21    0.957576
22    0.961616
23    0.940404
24    0.982828
25    0.935354
26    0.963131
27    0.971212
28    0.972222
29    0.973232
30    0.974747
31    0.977778
32    0.976263
33    0.983838
34    0.991414
35    0.936364
36    0.972727
37    0.980303
38    0.951515
39    0.974242
40    0.987374
41    0.975758
42    0.978788
43    0.986869
44    0.976263
45    0.984343
46    0.957071
47    0.950505
48    0.983333
49    0.958586

Train Losses:
0     1.209402
1     0.672637
2     0.578767
3     0.517920
4     0.483188
5     0.462909
6     0.445022
7     0.401359
8     0.374562
9     0.355998
10    0.336387
11    0.320160
12    0.283849
13    0.276019
14    0.272670
15    0.251958
16    0.215427
17    0.209396
18    0.224218
19    0.188812
20    0.202423
21    0.157955
22    0.175982
23    0.173381
24    0.144183
25    0.152490
26    0.146189
27    0.137682
28    0.135907
29    0.138761
30    0.139074
31    0.149260
32    0.121455
33    0.139533
34    0.118094
35    0.109946
36    0.120510
37    0.126921
38    0.108334
39    0.131284
40    0.108547
41    0.108563
42    0.112323
43    0.084408
44    0.100792
45    0.083887
46    0.093881
47    0.095541
48    0.096520
49    0.104885

Validation Losses:
0     0.483665
1     0.443986
2     0.334603
3     0.395817
4     0.277283
5     0.286480
6     0.331548
7     0.233359
8     0.247572
9     0.197805
10    0.226151
11    0.232670
12    0.347527
13    0.155772
14    0.168608
15    0.179346
16    0.111247
17    0.102201
18    0.085861
19    0.083512
20    0.106106
21    0.113755
22    0.097771
23    0.164165
24    0.050057
25    0.180712
26    0.103476
27    0.077745
28    0.076699
29    0.075462
30    0.062869
31    0.054522
32    0.057724
33    0.039804
34    0.030710
35    0.213957
36    0.067073
37    0.049600
38    0.125238
39    0.067700
40    0.033279
41    0.061720
42    0.058930
43    0.036987
44    0.065952
45    0.038500
46    0.124580
47    0.177666
48    0.056826
49    0.136224

