Train Accuracies:
0     0.638384
1     0.807071
2     0.833712
3     0.851010
4     0.881187
5     0.890404
6     0.906061
7     0.918434
8     0.918182
9     0.937753
10    0.932071
11    0.933586
12    0.943939
13    0.938636
14    0.945833
15    0.947222
16    0.944571
17    0.945833
18    0.952399
19    0.943434
20    0.959217
21    0.948737
22    0.954924
23    0.953535
24    0.954672
25    0.960480
26    0.961742
27    0.967172
28    0.958460
29    0.948359
30    0.964394
31    0.955177
32    0.965025
33    0.962753
34    0.951263
35    0.964015
36    0.962500
37    0.963258
38    0.972096
39    0.978662
40    0.978409
41    0.972727
42    0.967045
43    0.967424
44    0.967298
45    0.967424
46    0.969571
47    0.972096
48    0.965530
49    0.970328

Validation Accuracies:
0     0.759596
1     0.852020
2     0.871717
3     0.892424
4     0.919192
5     0.924242
6     0.920707
7     0.923737
8     0.926768
9     0.973232
10    0.911616
11    0.880303
12    0.968182
13    0.968182
14    0.923232
15    0.927778
16    0.882828
17    0.960606
18    0.937374
19    0.904040
20    0.874242
21    0.816162
22    0.934343
23    0.919192
24    0.950505
25    0.958081
26    0.981818
27    0.966667
28    0.970707
29    0.976263
30    0.943939
31    0.961111
32    0.946970
33    0.939394
34    0.956566
35    0.974747
36    0.962121
37    0.967677
38    0.979798
39    0.970202
40    0.968687
41    0.973232
42    0.941414
43    0.928788
44    0.973232
45    0.977273
46    0.966162
47    0.953030
48    0.967677
49    0.956061

Train Losses:
0     2.471369
1     0.490261
2     0.423555
3     0.388273
4     0.328438
5     0.305222
6     0.249288
7     0.223193
8     0.224992
9     0.184567
10    0.188739
11    0.193641
12    0.166292
13    0.171113
14    0.153764
15    0.155492
16    0.169606
17    0.166351
18    0.140517
19    0.165495
20    0.116846
21    0.145825
22    0.133412
23    0.138278
24    0.129989
25    0.118040
26    0.113448
27    0.094524
28    0.123062
29    0.144763
30    0.100014
31    0.142003
32    0.107920
33    0.113342
34    0.149008
35    0.109920
36    0.119534
37    0.123604
38    0.084158
39    0.069881
40    0.074050
41    0.083613
42    0.099241
43    0.096762
44    0.093376
45    0.095847
46    0.088596
47    0.086339
48    0.100382
49    0.091551

Validation Losses:
0     0.629513
1     0.379475
2     0.354755
3     0.276475
4     0.258186
5     0.206020
6     0.213367
7     0.205270
8     0.194750
9     0.086116
10    0.249369
11    0.339964
12    0.085003
13    0.092458
14    0.202653
15    0.231029
16    0.329650
17    0.113285
18    0.144804
19    0.222777
20    0.323461
21    0.495442
22    0.235508
23    0.216108
24    0.237672
25    0.126327
26    0.062126
27    0.120293
28    0.099595
29    0.072434
30    0.166224
31    0.146430
32    0.155210
33    0.199086
34    0.109692
35    0.089871
36    0.097930
37    0.101239
38    0.053443
39    0.082039
40    0.094357
41    0.104300
42    0.214350
43    0.176738
44    0.124181
45    0.069900
46    0.207434
47    0.130738
48    0.101146
49    0.161588

