Train Accuracies:
0     0.668308
1     0.799369
2     0.836616
3     0.863510
4     0.873990
5     0.894318
6     0.871970
7     0.897727
8     0.915530
9     0.908081
10    0.916414
11    0.929293
12    0.935732
13    0.923485
14    0.924116
15    0.929419
16    0.930303
17    0.943308
18    0.937626
19    0.937879
20    0.937626
21    0.942172
22    0.928157
23    0.946843
24    0.943182
25    0.944823
26    0.945960
27    0.955934
28    0.951389
29    0.945455
30    0.943561
31    0.959091
32    0.953283
33    0.959217
34    0.957955
35    0.954545
36    0.948359
37    0.955808
38    0.953157
39    0.963763
40    0.962879
41    0.958081
42    0.962500
43    0.953535
44    0.959848
45    0.966667
46    0.960606
47    0.965404
48    0.966035
49    0.959722

Validation Accuracies:
0     0.668687
1     0.703535
2     0.845455
3     0.899495
4     0.883333
5     0.884343
6     0.866162
7     0.809091
8     0.905556
9     0.887879
10    0.923232
11    0.906566
12    0.844444
13    0.880808
14    0.922222
15    0.950505
16    0.929293
17    0.926263
18    0.950000
19    0.911616
20    0.935354
21    0.929293
22    0.943434
23    0.926263
24    0.965152
25    0.895960
26    0.963636
27    0.953030
28    0.946970
29    0.939394
30    0.954545
31    0.953030
32    0.948485
33    0.956061
34    0.927778
35    0.930303
36    0.953030
37    0.967172
38    0.970202
39    0.953030
40    0.970707
41    0.967172
42    0.930808
43    0.951515
44    0.945455
45    0.901515
46    0.967677
47    0.962121
48    0.961616
49    0.955051

Train Losses:
0     2.207828
1     0.496391
2     0.417433
3     0.355632
4     0.330958
5     0.291450
6     0.337810
7     0.272735
8     0.244857
9     0.254586
10    0.244514
11    0.201006
12    0.173663
13    0.226809
14    0.209001
15    0.198712
16    0.209382
17    0.167310
18    0.181455
19    0.181403
20    0.174999
21    0.173419
22    0.214780
23    0.157569
24    0.173243
25    0.158663
26    0.155097
27    0.127679
28    0.140097
29    0.163694
30    0.161163
31    0.128249
32    0.136570
33    0.119844
34    0.117496
35    0.138534
36    0.163162
37    0.129112
38    0.140283
39    0.110579
40    0.101110
41    0.122765
42    0.116569
43    0.137888
44    0.125830
45    0.098706
46    0.105223
47    0.096375
48    0.111797
49    0.116447

Validation Losses:
0     1.022267
1     0.743996
2     0.376064
3     0.263086
4     0.303858
5     0.296438
6     0.334228
7     0.528659
8     0.255846
9     0.286554
10    0.257975
11    0.259176
12    0.465370
13    0.325647
14    0.209972
15    0.135653
16    0.193425
17    0.206486
18    0.150583
19    0.269299
20    0.177616
21    0.204131
22    0.147444
23    0.182891
24    0.112244
25    0.280295
26    0.097506
27    0.121377
28    0.124954
29    0.153724
30    0.141251
31    0.162472
32    0.147557
33    0.132761
34    0.185800
35    0.195405
36    0.136704
37    0.107718
38    0.110516
39    0.123780
40    0.080335
41    0.084369
42    0.241039
43    0.165140
44    0.148210
45    0.333602
46    0.078698
47    0.087399
48    0.136985
49    0.128600

