Train Accuracies:
0     0.483081
1     0.697854
2     0.745202
3     0.772096
4     0.787121
5     0.802146
6     0.817045
7     0.828157
8     0.841288
9     0.851136
10    0.866035
11    0.881566
12    0.882828
13    0.895455
14    0.907071
15    0.912121
16    0.909217
17    0.923485
18    0.928788
19    0.930429
20    0.936869
21    0.942551
22    0.948864
23    0.941162
24    0.944949
25    0.941162
26    0.947727
27    0.948359
28    0.948485
29    0.951263
30    0.957449
31    0.953535
32    0.955682
33    0.946843
34    0.960101
35    0.957197
36    0.961237
37    0.960732
38    0.963889
39    0.960101
40    0.965278
41    0.963889
42    0.955429
43    0.966667
44    0.971843
45    0.964646
46    0.965404
47    0.971970
48    0.967677
49    0.968561

Validation Accuracies:
0     0.836869
1     0.857576
2     0.797980
3     0.855051
4     0.825253
5     0.877273
6     0.876263
7     0.871212
8     0.862121
9     0.907071
10    0.886869
11    0.908081
12    0.922222
13    0.925253
14    0.941919
15    0.934343
16    0.950505
17    0.943434
18    0.954545
19    0.951515
20    0.959596
21    0.961616
22    0.971212
23    0.942424
24    0.957576
25    0.968182
26    0.959596
27    0.968687
28    0.953535
29    0.974242
30    0.971212
31    0.967677
32    0.973232
33    0.970707
34    0.958081
35    0.974242
36    0.977778
37    0.985354
38    0.968687
39    0.968182
40    0.972727
41    0.961616
42    0.969697
43    0.980808
44    0.968182
45    0.972222
46    0.970202
47    0.977273
48    0.979798
49    0.962121

Train Losses:
0     1.220928
1     0.707495
2     0.605914
3     0.557388
4     0.528941
5     0.508137
6     0.472718
7     0.439520
8     0.420831
9     0.390693
10    0.357329
11    0.338436
12    0.324445
13    0.288150
14    0.267369
15    0.249150
16    0.252595
17    0.215566
18    0.205884
19    0.198390
20    0.178791
21    0.168526
22    0.155748
23    0.179156
24    0.160996
25    0.164645
26    0.157460
27    0.145628
28    0.148101
29    0.150188
30    0.126837
31    0.143621
32    0.136177
33    0.152398
34    0.122799
35    0.126611
36    0.121031
37    0.119336
38    0.110700
39    0.115148
40    0.104052
41    0.107913
42    0.129078
43    0.103045
44    0.097512
45    0.107374
46    0.108195
47    0.086997
48    0.094562
49    0.098779

Validation Losses:
0     0.493662
1     0.434606
2     0.470307
3     0.368362
4     0.421959
5     0.310968
6     0.329758
7     0.316452
8     0.377147
9     0.243972
10    0.284843
11    0.220530
12    0.197252
13    0.210485
14    0.161669
15    0.180705
16    0.141981
17    0.156464
18    0.121678
19    0.124567
20    0.100410
21    0.112517
22    0.079152
23    0.138658
24    0.124357
25    0.087224
26    0.106413
27    0.095727
28    0.130147
29    0.061992
30    0.083600
31    0.096664
32    0.085355
33    0.084303
34    0.116921
35    0.075714
36    0.057081
37    0.043832
38    0.086853
39    0.086632
40    0.077218
41    0.122236
42    0.084709
43    0.056822
44    0.080461
45    0.064791
46    0.081062
47    0.061241
48    0.063635
49    0.124084

