Train Accuracies:
0     0.492677
1     0.688384
2     0.735859
3     0.763763
4     0.779419
5     0.802525
6     0.821843
7     0.834596
8     0.841162
9     0.852778
10    0.868308
11    0.876641
12    0.885985
13    0.888384
14    0.901010
15    0.909470
16    0.912500
17    0.926389
18    0.922222
19    0.916667
20    0.927652
21    0.935732
22    0.934091
23    0.935354
24    0.942424
25    0.941540
26    0.953914
27    0.943056
28    0.947222
29    0.949242
30    0.950379
31    0.961616
32    0.948611
33    0.959470
34    0.954924
35    0.955808
36    0.956566
37    0.949621
38    0.959848
39    0.953283
40    0.958965
41    0.964141
42    0.960859
43    0.961995
44    0.965404
45    0.965530
46    0.957071
47    0.954545
48    0.968056
49    0.969697

Validation Accuracies:
0     0.821717
1     0.841414
2     0.817172
3     0.856566
4     0.845455
5     0.875758
6     0.884343
7     0.887374
8     0.909596
9     0.908586
10    0.925758
11    0.937879
12    0.939394
13    0.937879
14    0.942929
15    0.950000
16    0.962626
17    0.953535
18    0.967172
19    0.955556
20    0.954040
21    0.962121
22    0.958081
23    0.974747
24    0.971717
25    0.975758
26    0.981818
27    0.979798
28    0.955051
29    0.978283
30    0.979293
31    0.980303
32    0.977273
33    0.980303
34    0.979798
35    0.973737
36    0.978788
37    0.973232
38    0.973737
39    0.974242
40    0.983333
41    0.984848
42    0.973232
43    0.982323
44    0.975253
45    0.956061
46    0.969192
47    0.983838
48    0.981818
49    0.978788

Train Losses:
0     1.217481
1     0.735723
2     0.634787
3     0.586241
4     0.539063
5     0.503248
6     0.456964
7     0.432854
8     0.418211
9     0.380092
10    0.352112
11    0.338662
12    0.320762
13    0.300330
14    0.275268
15    0.252720
16    0.252594
17    0.214705
18    0.223521
19    0.227100
20    0.204593
21    0.184603
22    0.196913
23    0.186070
24    0.173998
25    0.170702
26    0.144394
27    0.161796
28    0.158396
29    0.155713
30    0.142531
31    0.118427
32    0.146884
33    0.124924
34    0.129515
35    0.141505
36    0.125039
37    0.144829
38    0.124925
39    0.133165
40    0.123520
41    0.105872
42    0.120993
43    0.107772
44    0.105122
45    0.108074
46    0.123439
47    0.136392
48    0.096055
49    0.089726

Validation Losses:
0     0.523327
1     0.455568
2     0.459830
3     0.383669
4     0.365780
5     0.316908
6     0.297375
7     0.274198
8     0.246245
9     0.232267
10    0.190450
11    0.177549
12    0.163233
13    0.173170
14    0.160164
15    0.148808
16    0.105011
17    0.131817
18    0.095038
19    0.125233
20    0.117931
21    0.092824
22    0.109815
23    0.080285
24    0.090016
25    0.067567
26    0.051027
27    0.061337
28    0.125600
29    0.059758
30    0.060192
31    0.062144
32    0.079957
33    0.061832
34    0.060125
35    0.079248
36    0.046872
37    0.091775
38    0.084478
39    0.082143
40    0.047643
41    0.044696
42    0.073730
43    0.057342
44    0.067144
45    0.123759
46    0.079850
47    0.044613
48    0.058358
49    0.072513

