Train Accuracies:
0     0.663384
1     0.809217
2     0.844444
3     0.866414
4     0.873611
5     0.886364
6     0.901136
7     0.902273
8     0.918939
9     0.928283
10    0.932702
11    0.934596
12    0.934470
13    0.939899
14    0.929293
15    0.936490
16    0.950758
17    0.943056
18    0.950000
19    0.949621
20    0.950631
21    0.938384
22    0.955934
23    0.947727
24    0.958586
25    0.958838
26    0.958207
27    0.953662
28    0.953157
29    0.958333
30    0.954545
31    0.962247
32    0.957449
33    0.964141
34    0.960732
35    0.964141
36    0.965404
37    0.966919
38    0.963889
39    0.968308
40    0.966667
41    0.959091
42    0.960480
43    0.973232
44    0.963131
45    0.966540
46    0.962374
47    0.965657
48    0.973485
49    0.963510

Validation Accuracies:
0     0.828788
1     0.825253
2     0.855556
3     0.890404
4     0.911111
5     0.823232
6     0.848990
7     0.922727
8     0.919192
9     0.902020
10    0.945455
11    0.952020
12    0.961616
13    0.947980
14    0.909091
15    0.900000
16    0.935354
17    0.947980
18    0.952020
19    0.938384
20    0.917172
21    0.938384
22    0.944444
23    0.961616
24    0.891919
25    0.968182
26    0.948485
27    0.945960
28    0.959091
29    0.963636
30    0.950505
31    0.967172
32    0.976263
33    0.955556
34    0.903535
35    0.953030
36    0.981818
37    0.964141
38    0.959091
39    0.964646
40    0.975758
41    0.980808
42    0.928788
43    0.951010
44    0.951010
45    0.973232
46    0.961616
47    0.959091
48    0.907576
49    0.969192

Train Losses:
0     4.185968
1     0.478832
2     0.402567
3     0.357590
4     0.326235
5     0.286932
6     0.272270
7     0.269372
8     0.221417
9     0.200172
10    0.192964
11    0.183020
12    0.179456
13    0.167547
14    0.198835
15    0.176551
16    0.143080
17    0.168251
18    0.145612
19    0.150398
20    0.152752
21    0.185403
22    0.130724
23    0.154105
24    0.123019
25    0.128570
26    0.132085
27    0.146664
28    0.155166
29    0.134302
30    0.134093
31    0.107552
32    0.118418
33    0.110707
34    0.116276
35    0.107081
36    0.105494
37    0.107437
38    0.107146
39    0.096269
40    0.103360
41    0.136999
42    0.122064
43    0.084075
44    0.117507
45    0.107761
46    0.111162
47    0.103936
48    0.072344
49    0.103258

Validation Losses:
0     0.441547
1     0.433432
2     0.383083
3     0.289807
4     0.230632
5     0.405291
6     0.399157
7     0.195588
8     0.220578
9     0.259580
10    0.159813
11    0.128798
12    0.099898
13    0.151743
14    0.252988
15    0.301041
16    0.183455
17    0.142584
18    0.129527
19    0.181708
20    0.274943
21    0.159658
22    0.176611
23    0.101096
24    0.286906
25    0.097795
26    0.188592
27    0.223728
28    0.098021
29    0.138010
30    0.158206
31    0.096254
32    0.072748
33    0.141898
34    0.246355
35    0.134627
36    0.045404
37    0.128830
38    0.107989
39    0.101257
40    0.093725
41    0.073376
42    0.213750
43    0.177435
44    0.167828
45    0.092842
46    0.123443
47    0.104554
48    0.191248
49    0.094974

